File,Line,Style Content,Is Legitimate,Priority
components/HashtagCategoryDebug.tsx,27,"fontFamily: 'monospace',
        fontSize: '0.875rem',
        color: '#374151',
        background: 'rgba(243, 244, 246, 0.5)',
        padding: '0.5rem',
        borderRadius: '6px',
        border: '1px solid rgba(209, 213, 219, 0.5)'",No,Low
components/HashtagCategoryDebug.tsx,48,"background: 'rgba(255, 255, 255, 0.9)',
      border: '1px solid rgba(229, 231, 235, 0.8)',
      borderRadius: '8px',
      padding: '1rem',
      marginBottom: '1rem'",No,Low
components/HashtagCategoryDebug.tsx,55,"margin: '0 0 0.75rem 0',
        fontSize: '0.875rem',
        fontWeight: '600',
        color: '#374151',
        textTransform: 'uppercase',
        letterSpacing: '0.5px'",No,Low
components/HashtagCategoryDebug.tsx,66,"display: 'grid',
        gap: '0.5rem',
        fontSize: '0.875rem'",No,Low
components/HashtagCategoryDebug.tsx,74,"display: 'flex',
              alignItems: 'center',
              gap: '0.75rem',
              padding: '0.5rem',
              background: 'rgba(249, 250, 251, 0.8)',
              borderRadius: '6px',
              fontFamily: 'monospace'",No,Low
components/HashtagCategoryDebug.tsx,85,"fontWeight: '600',
              color: '#1f2937',
              minWidth: '100px'",No,Low
components/HashtagCategoryDebug.tsx,94,"display: 'flex',
              flexWrap: 'wrap',
              gap: '0.375rem'",No,Low
components/HashtagCategoryDebug.tsx,125,"marginLeft: 'auto',
              color: '#6b7280',
              fontStyle: 'italic'",No,Low
components/HashtagCategoryDebug.tsx,137,"color: '#9ca3af',
          fontStyle: 'italic',
          textAlign: 'center',
          padding: '1rem'",No,Low
components/HashtagEditor.tsx,331,"display: 'flex', alignItems: 'center', justifyContent: 'space-between', gap: '1rem', marginBottom: '1rem'",No,Low
components/HashtagEditor.tsx,332,"color: '#6b7280', fontSize: '0.875rem'",No,Low
components/HashtagEditor.tsx,364,"flex: 1, minWidth: 0",No,Low
components/HashtagEditor.tsx,388,"minWidth: '80px'",No,Low
components/HashtagEditor.tsx,396,"minWidth: '80px'",No,Low
components/HashtagEditor.tsx,407,"textAlign: 'center', marginTop: '1rem'",No,Low
components/HashtagEditor.tsx,413,"color: '#6b7280', fontSize: '0.875rem'",No,Low
components/PagePasswordLogin.tsx,174,"/* What: Use global login-container class which now respects --page-bg.
         Why: Ensures password overlay adopts Admin → Design page styles. */
      minHeight: '100vh', 
      display: 'flex', 
      flexDirection: 'column',
      alignItems: 'center', 
      justifyContent: 'center',
      color: 'white',
      fontFamily: '-apple-system, BlinkMacSystemFont, \""Segoe UI\"", Roboto, sans-serif',
      padding: '2rem'",No,Low
components/PagePasswordLogin.tsx,186,"background: 'rgba(255, 255, 255, 0.1)', 
        backdropFilter: 'blur(10px)',
        padding: '3rem',
        borderRadius: '16px',
        textAlign: 'center',
        border: '1px solid rgba(255, 255, 255, 0.2)',
        maxWidth: '500px',
        width: '100%'",No,Low
components/PagePasswordLogin.tsx,196,"fontSize: '3rem',
          marginBottom: '1.5rem'",No,Low
components/PagePasswordLogin.tsx,201,"margin: '0 0 1rem 0', 
          fontSize: '2rem',
          fontWeight: '700'",No,Low
components/PagePasswordLogin.tsx,209,"margin: '0 0 2rem 0', 
          opacity: 0.9,
          fontSize: '1.125rem',
          lineHeight: '1.6'",No,Low
components/PagePasswordLogin.tsx,218,"width: '100%'",No,Low
components/PagePasswordLogin.tsx,219,"marginBottom: '1.5rem'",No,Low
components/PagePasswordLogin.tsx,226,"width: '100%',
                padding: '1rem',
                fontSize: '1.125rem',
                border: '2px solid rgba(255, 255, 255, 0.3)',
                borderRadius: '8px',
                background: 'rgba(255, 255, 255, 0.1)',
                color: 'white',
                outline: 'none',
                transition: 'all 0.2s ease',
                boxSizing: 'border-box'",No,Low
components/PagePasswordLogin.tsx,250,"background: 'rgba(220, 38, 38, 0.2)',
              border: '1px solid rgba(220, 38, 38, 0.3)',
              borderRadius: '8px',
              padding: '0.75rem',
              marginBottom: '1.5rem',
              fontSize: '0.875rem',
              color: '#fca5a5'",No,Low
components/PagePasswordLogin.tsx,266,"width: '100%',
              padding: '1rem',
              fontSize: '1.125rem',
              fontWeight: '600',
              border: 'none',
              borderRadius: '8px',
              background: isLoading || !password.trim() 
                ? 'rgba(255, 255, 255, 0.2)' 
                : 'rgba(255, 255, 255, 0.9)',
              color: isLoading || !password.trim() ? 'rgba(255, 255, 255, 0.5)' : '#4f46e5',
              cursor: isLoading || !password.trim() ? 'not-allowed' : 'pointer',
              transition: 'all 0.2s ease',
              backdropFilter: 'blur(10px)'",No,Low
components/PagePasswordLogin.tsx,298,"marginTop: '2rem',
          padding: '1rem',
          background: 'rgba(255, 255, 255, 0.05)',
          borderRadius: '8px',
          fontSize: '0.875rem',
          opacity: 0.8",No,Low
components/PagePasswordLogin.tsx,306,"margin: '0 0 0.5rem 0', fontWeight: '600'",No,Low
components/PagePasswordLogin.tsx,307,"margin: '0 0 0.25rem 0'",No,Low
components/PagePasswordLogin.tsx,308,"margin: '0'",No,Low
components/PasswordGate.tsx,76,"marginBottom: 8",No,Low
components/PasswordGate.tsx,77,"display: ""flex"", gap: 8, alignItems: ""center""",No,Low
components/PasswordGate.tsx,90,"color: ""#b00020"", marginTop: 8",No,Low
components/SharePopup.tsx,116,"position: 'fixed',
        top: 0,
        left: 0,
        right: 0,
        bottom: 0,
        backgroundColor: 'rgba(0, 0, 0, 0.5)',
        display: 'flex',
        alignItems: 'center',
        justifyContent: 'center',
        zIndex: 1000,
        padding: '1rem'",No,Low
components/SharePopup.tsx,132,"background: 'white',
          borderRadius: '16px',
          padding: '2rem',
          maxWidth: '600px',
          width: '100%',
          boxShadow: '0 20px 25px -5px rgba(0, 0, 0, 0.1), 0 10px 10px -5px rgba(0, 0, 0, 0.04)',
          position: 'relative'",No,Low
components/SharePopup.tsx,146,"position: 'absolute',
            top: '1rem',
            right: '1rem',
            background: 'none',
            border: 'none',
            fontSize: '1.5rem',
            cursor: 'pointer',
            color: '#6b7280',
            padding: '0.5rem',
            borderRadius: '8px',
            transition: 'all 0.2s ease'",No,Low
components/SharePopup.tsx,172,"textAlign: 'center', marginBottom: '2rem'",No,Low
components/SharePopup.tsx,173,"fontSize: '3rem', marginBottom: '1rem'",No,Low
